HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b9q2,b9q3,b9q4,NSC,MLT
533361021,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,02,1,10,05,7,3400,2,32200
533361021,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,02,1,10,13,7,3400,2,32200
533362011,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,2,01,1,10,05,12,3200,2,177100
533362011,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,2,01,1,10,13,12,3200,2,177100
533362021,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,2,02,1,10,05,4,1695,2,177100
533362021,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,2,02,1,10,13,4,1695,2,177100
533363021,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,3,02,1,10,05,7,3000,2,386400
533363021,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,3,02,1,10,13,7,3000,2,386400
533365011,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,5,01,1,10,05,12,3500,2,104650
533365011,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,5,01,1,10,13,12,3500,2,104650
533365021,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,5,02,1,10,05,13,3500,2,104650
533365021,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,5,02,1,10,13,13,3500,2,104650
533365041,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,5,04,1,10,05,15,5600,2,104650
533365041,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,5,04,1,10,13,15,5600,2,104650
533341011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,1,10,05,10,3500,1,9500
533341011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,1,10,11,2,200,1,9500
533341011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,1,01,1,10,13,12,3700,1,9500
533342011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,01,1,10,05,12,3800,1,12667
533342011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,01,1,10,11,1,130,1,12667
533342011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,01,1,10,13,13,3930,1,12667
533342021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,02,1,10,05,11,3300,1,12667
533342021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,02,1,10,13,11,3300,1,12667
533342031,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,03,1,10,05,15,4500,1,12667
533342031,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,03,1,10,11,1,150,1,12667
533342031,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,2,03,1,10,13,16,4650,1,12667
533343011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,3,01,1,10,05,14,3400,1,47500
533343011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,3,01,1,10,11,2,350,1,47500
533343011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,3,01,1,10,13,16,3750,1,47500
533343021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,3,02,1,10,05,4,1000,1,47500
533343021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,3,02,1,10,13,4,1000,1,47500
533344011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,4,01,1,10,05,7,1250,1,28500
533344011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,4,01,1,10,13,7,1250,1,28500
533344021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,4,02,1,10,05,9,2400,1,28500
533344021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,4,02,1,10,11,1,180,1,28500
533344021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,4,02,1,10,13,10,2580,1,28500
533345011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,01,1,10,05,12,3000,1,52250
533345011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,01,1,10,11,1,250,1,52250
533345011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,01,1,10,13,13,3250,1,52250
533345021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,02,1,10,05,6,1800,1,52250
533345021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,02,1,10,11,2,800,1,52250
533345021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,5,02,1,10,13,8,2600,1,52250
533346011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,6,01,1,10,05,10,2800,1,185250
533346011,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,6,01,1,10,13,10,2800,1,185250
533346021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,6,02,1,10,05,12,2500,1,185250
533346021,771,53334,77,182,1,1,012,01,0116,16,16,21,1,0111,6,02,1,10,13,12,2500,1,185250
533381011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,01,1,10,05,6,3600,2,21800
533381011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,01,1,10,11,1,350,2,21800
533381011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,01,1,10,13,7,3950,2,21800
533381021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,02,1,10,05,11,4250,2,21800
533381021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,1,02,1,10,13,11,4250,2,21800
533382011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,2,01,1,10,05,15,6500,2,49050
533382011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,2,01,1,10,13,15,6500,2,49050
533382021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,2,02,1,10,05,9,2950,2,49050
533382021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,2,02,1,10,13,9,2950,2,49050
533383011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,3,01,1,10,05,12,4800,2,109000
533383011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,3,01,1,10,13,12,4800,2,109000
533383021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,3,02,1,10,05,25,8500,2,109000
533383021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,3,02,1,10,13,25,8500,2,109000
533384011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,1,10,05,10,4000,2,54500
533384011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,01,1,10,13,10,4000,2,54500
533384021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,02,1,10,05,10,3650,2,54500
533384021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,4,02,1,10,13,10,3650,2,54500
533385011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,5,01,1,10,05,16,12500,2,92650
533385011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,5,01,1,10,13,16,12500,2,92650
533385021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,5,02,1,10,05,8,1950,2,92650
533385021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,5,02,1,10,12,1,150,2,92650
533385021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,5,02,1,10,13,9,2100,2,92650
533386011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,6,01,1,10,05,12,5850,2,261600
533386011,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,6,01,1,10,13,12,5850,2,261600
533386021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,6,02,1,10,05,19,6260,2,261600
533386021,771,53338,77,182,1,1,012,01,0117,17,17,32,1,0111,6,02,1,10,13,19,6260,2,261600
533531011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,01,1,10,05,5,1250,2,17100
533531011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,01,1,10,11,1,200,2,17100
533531011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,01,1,10,13,6,1450,2,17100
533531021,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,02,1,10,05,10,2500,2,17100
533531021,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,1,02,1,10,13,10,2500,2,17100
533532011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,2,01,1,10,05,11,2800,2,34200
533532011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,2,01,1,10,11,2,250,2,34200
533532011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,2,01,1,10,13,13,3050,2,34200
533532021,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,2,02,1,10,05,11,28000,2,34200
533532021,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,2,02,1,10,11,2,280,2,34200
533532021,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,2,02,1,10,13,13,28280,2,34200
533533011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,3,01,1,10,05,13,3400,2,42750
533533011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,3,01,1,10,11,2,350,2,42750
533533011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,3,01,1,10,13,15,3750,2,42750
533533021,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,3,02,1,10,05,6,1800,2,42750
533533021,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,3,02,1,10,13,6,1800,2,42750
533535011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,5,01,1,10,05,8,1800,2,68400
533535011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,5,01,1,10,11,2,150,2,68400
533535011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,5,01,1,10,13,10,1950,2,68400
533535021,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,5,02,1,10,05,15,3600,2,68400
533535021,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,5,02,1,10,11,3,450,2,68400
533535021,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,5,02,1,10,13,18,4050,2,68400
533535031,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,5,03,1,10,05,12,3200,2,68400
533535031,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,5,03,1,10,11,2,350,2,68400
533535031,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,5,03,1,10,13,14,3550,2,68400
533535041,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,5,04,1,10,05,12,2800,2,68400
533535041,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,5,04,1,10,11,2,400,2,68400
533535041,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,5,04,1,10,13,14,3200,2,68400
533536011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,6,01,1,10,05,12,3600,2,427500
533536011,771,53353,77,182,1,1,012,01,0117,17,17,31,1,0111,6,01,1,10,11,2,350,2,427500
