HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b11bq1,b11bq3,b11bq4,b11bq5,b11bq6,NSC,MLT
532624021,771,53262,77,182,1,1,031,03,0304,04,04,32,2,0312,4,02,1,13,5,1000,0,0,1000,2,332100
532611011,771,53261,77,182,1,1,031,03,0305,05,05,11,2,0310,1,01,1,13,4,1000,0,0,1000,1,5700
532611011,771,53261,77,182,1,1,031,03,0305,05,05,11,2,0310,1,01,1,13,5,1000,0,0,1000,1,5700
532613011,771,53261,77,182,1,1,031,03,0305,05,05,11,2,0310,3,01,1,13,4,3000,0,0,3000,1,5700
532613011,771,53261,77,182,1,1,031,03,0305,05,05,11,2,0310,3,01,1,13,5,3000,0,0,3000,1,5700
532614011,771,53261,77,182,1,1,031,03,0305,05,05,11,2,0310,4,01,1,13,4,500,0,0,500,1,5700
532614011,771,53261,77,182,1,1,031,03,0305,05,05,11,2,0310,4,01,1,13,5,500,0,0,500,1,5700
532601011,771,53260,77,182,1,1,031,03,0305,05,05,31,2,0310,1,01,1,13,4,1000,,,1000,2,56100
532601011,771,53260,77,182,1,1,031,03,0305,05,05,31,2,0310,1,01,1,13,5,1000,,,1000,2,56100
531571011,771,53157,77,182,1,1,031,03,0318,18,18,31,2,0320,1,01,1,13,1,150000,0,0,150000,2,118300
531571011,771,53157,77,182,1,1,031,03,0318,18,18,31,2,0320,1,01,1,13,5,150000,0,0,150000,2,118300
536702021,771,53670,77,182,1,1,051,05,0511,11,11,21,1,0511,2,02,1,13,1,36000,12000,,24000,2,15100
536702021,771,53670,77,182,1,1,051,05,0511,11,11,21,1,0511,2,02,1,13,5,36000,12000,,24000,2,15100
536764021,771,53676,77,182,1,1,051,05,0512,12,12,21,1,0511,4,02,1,13,1,115750,39000,0,76750,2,30450
536764021,771,53676,77,182,1,1,051,05,0512,12,12,21,1,0511,4,02,1,13,5,115750,39000,0,76750,2,30450
